year,month,start,end of period,sales,value (E),unsoldes (Kg)
2013,1,01-01-13,31-01-13,266 180,600 839,16 449
2013,2,01-02-13,28-02-13,184 735,465 541,8 935
2013,3,01-03-13,31-03-13,233 105,620 400,2 067
2013,4,01-04-13,30-04-13,242 335,698 653,2 765
2013,5,01-05-13,31-05-13,188 600,484 398,3 427
2013,6,01-06-13,30-06-13,116 824,288 598,2 883
2013,7,01-07-13,31-07-13,157 889,370 200,5 859
2013,8,01-08-13,31-08-13,136 274,293 630,19 211
2013,9,01-09-13,30-09-13,70 282,221 709,2 062
2013,10,01-10-13,31-10-13,488 142,1190 578,504
2013,11,01-11-13,30-11-13,341 112,1036 566,161
2013,12,01-12-13,31-12-13,441 408,1357 731,1 435
2014,1,01-01-14,31-01-14,350 473,870 968,126
2014,2,01-02-14,28-02-14,268 147,698 570,171
2014,3,01-03-14,31-03-14,541 530,1319 505,1 421
2014,4,01-04-14,30-04-14,452 016,1233 389,-1 216
2014,5,01-05-14,31-05-14,164 168,421 023,113
2014,6,01-06-14,30-06-14,140 016,316 639,1 109
2014,7,01-07-14,31-07-14,135 513,412 652,185
2014,8,01-08-14,31-08-14,95 901,275 890,14
2014,9,01-09-14,30-09-14,106 638,274 999,274
2014,10,01-10-14,31-10-14,304 701,954 310,477
2014,11,01-11-14,30-11-14,283 539,997 900,1 508
2014,12,01-12-14,31-12-14,328 176,1391 373,2 496
2015,1,01-01-15,31-01-15,221 183,829 389,675
2015,2,01-02-15,28-02-15,235 791,892 211,0
2015,3,01-03-15,31-03-15,229 275,889 232,25
2015,4,01-04-15,30-04-15,200 797,721 696,0
2015,5,01-05-15,31-05-15,150 400,381 650,280
2015,6,01-06-15,30-06-15,92 560,273 522,3
2015,7,01-07-15,31-07-15,60 645,172 237,0
2015,8,01-08-15,31-08-15,97 807,222 131,0
2015,9,01-09-15,30-09-15,92 151,223 613,0
2015,10,01-10-15,31-10-15,237 973,767 439,50
2015,11,01-11-15,30-11-15,273 966,893 894,0
2015,12,01-12-15,31-12-15,457 810,1670 839,74
2016,1,01-01-16,31-01-16,236 969,821 786,0
2016,2,01-02-16,29-02-16,179 656,650 530,0
2016,3,01-03-16,31-03-16,198 566,693 657,535
2016,4,01-04-16,30-04-16,216 568,729 928,50
2016,5,01-05-16,31-05-16,195 849,586 488,0
2016,6,01-06-16,30-06-16,89 190,239 223,0
2016,7,01-07-16,31-07-16,94 016,174 930,0
2016,8,01-08-16,31-08-16,106 515,288 465,568
2016,9,01-09-16,30-09-16,60 373,211 964,82
2016,10,01-10-16,31-10-16,493 356,1493 264,0
2016,11,01-11-16,30-11-16,271 268,1128 087,675
2016,12,01-12-16,31-12-16,511 843,1855 870,1
2017,1,01-01-17,31-01-17,340 958,1107 386,0
2017,2,01-02-17,28-02-17,277 674,964 104,0
2017,3,01-03-17,31-03-17,283 335,1011 103,0
2017,4,01-04-17,30-04-17,293 366,992 691,0
2017,5,01-05-17,31-05-17,150 201,524 569,0
2017,6,01-06-17,30-06-17,76 878,257 545,0
2017,7,01-07-17,31-07-17,109 999,287 223,110
2017,8,01-08-17,31-08-17,124 113,401 421,350
2017,9,01-09-17,30-09-17,85 873,264 100,0
2017,10,01-10-17,31-10-17,432 146,1339 892,42 049
2017,11,01-11-17,30-11-17,535 856,1763 276,0
2017,12,01-12-17,31-12-17,605 243,2033 672,7 081
2018,1,01-01-18,31-01-18,458 088,1402 053,8 396
2018,2,01-02-18,28-02-18,358 836,1072 376,0
2018,3,01-03-18,31-03-18,438 527,1363 422,108
2018,4,01-04-18,30-04-18,397 900,1179 807,6 298
2018,5,01-05-18,31-05-18,187 756,671 176,0
2018,6,01-06-18,30-06-18,92 236,310 379,0
2018,7,01-07-18,31-07-18,94 658,295 144,0
2018,8,01-08-18,31-08-18,82 597,258 535,0
2018,9,01-09-18,30-09-18,71 504,262 653,0
2018,10,01-10-18,31-10-18,417 304,1210 065,7 325
2018,11,01-11-18,30-11-18,421 001,1181 815,20 164
2018,12,01-12-18,31-12-18,557 513,1635 158,7 669
2019,1,01-01-19,31-01-19,652 310,1595 188,0
2019,2,01-02-19,28-02-19,630 953,1406 242,0
2019,3,01-03-19,31-03-19,544 266,1114 121,0
2019,4,01-04-19,30-04-19,463 168,1090 849,25
2019,5,01-05-19,31-05-19,273 062,660 774,0
2019,6,01-06-19,30-06-19,112 045,258 778,0
2019,7,01-07-19,31-07-19,126 356,294 172,0
2019,8,01-08-19,31-08-19,91 717,252 788,0
2019,9,01-09-19,30-09-19,69 485,217 021,0
2019,10,01-10-19,31-10-19,557 541,1785 946,0
2019,11,01-11-19,30-11-19,551 649,1894 700,0
2019,12,01-12-19,31-12-19,684 516,2404 245,0
2020,1,01-01-20,31-01-20,614 265,1520 197,0
2020,2,01-02-20,29-02-20,457 718,1161 239,0
2020,3,01-03-20,31-03-20,517 769,1164 086,0
2020,4,01-04-20,30-04-20,474 270,1132 632,0
2020,5,01-05-20,31-05-20,265 936,567 504,0
2020,6,01-06-20,30-06-20,160 410,311 931,0
2020,7,01-07-20,31-07-20,163 852,287 033,0
2020,8,01-08-20,31-08-20,119 612,310 875,0
2020,9,01-09-20,30-09-20,142 726,249 527,623
